campaign_id,date,channel,region,device_type,audience_segment,campaign_objective,impressions,clicks,ctr_pct,spend_usd,conversions,conversion_rate_pct,bounce_rate_pct,session_duration_sec,audience_age,ad_quality_score,revenue_usd
C00001,12-04-2024,Affiliate,North,Mobile,Gen X,Traffic,103401,2129,2.06,1225.6,20,0.94,57.89,104,29,7.12,1626.91
C00002,25-05-2025,Social,South,Mobile,Gen Z,App Installs,90582,1498,1.65,,67,4.47,57.91,167,30,6.23,4973.81
C00003,18-07-2025,Video,North,Mobile,Gen Z,Traffic,164972,5995,3.63,7864.4,279,4.65,45.3,251,27,7.48,13342.42
C00004,26-09-2024,Social,Central,Mobile,Millennials,App Installs,80041,2549,3.18,5207.31,205,8.04,53.29,69,24,8.08,12948.48
C00005,04-06-2025,Video,South,CTV,Gen X,Awareness,227525,8106,3.56,10228.7,557,6.87,44.81,148,27,5.34,30931.58
C00006,30-06-2025,Social,West,Tablet,Gen X,Traffic,77167,1964,2.55,3487.88,110,5.6,38.19,136,46,6.91,5761.18
C00007,05-04-2024,Social,East,Mobile,Gen Z,Sales,109326,3362,3.08,5972.72,231,6.87,42.85,141,26,4.78,18602.2
C00008,01-10-2025,Search,East,Tablet,Gen X,Awareness,112448,5095,4.53,5445.3,314,6.16,48.48,75,32,6.37,23759.01
C00009,08-01-2025,Affiliate,West,Mobile,Boomers,Awareness,52078,644,1.24,480.87,35,5.43,45.37,154,36,8.86,1828.24
C00010,30-12-2025,Email,East,Tablet,Millennials,Awareness,80570,3712,4.61,1196.29,208,5.6,84.86,100,51,6.15,18047.14
C00011,06-02-2025,Search,South,Tablet,Gen Z,Traffic,145137,6100,4.2,10582.49,507,8.31,69.54,212,41,7.31,24490.54
C00012,23-05-2024,Search,West,Tablet,Boomers,Leads,135686,8357,6.16,14780.37,460,5.5,32.19,191,40,7.45,42084.6
C00013,19-09-2025,Social,East,Tablet,Millennials,Leads,118642,3188,2.69,4524.9,135,4.23,40.73,92,36,8.15,15883.16
C00014,02-02-2024,Affiliate,North,Desktop,Millennials,Traffic,106490,3939,3.7,4755.03,85,2.16,51.55,43,42,5.73,10476.03
C00015,25-04-2025,Video,West,Tablet,Millennials,Leads,161427,3367,2.09,4725.02,221,6.56,39.3,69,39,6.33,23580.83
C00016,19-07-2025,Search,South,Mobile,Gen X,Sales,145751,9873,6.77,14639.45,654,6.62,67.99,102,22,9.07,70207.57
C00017,11-02-2025,Display,North,Desktop,Gen X,Traffic,214876,3654,1.7,4203.34,90,2.46,34.71,69,34,7.25,5712.27
C00018,28-07-2025,Affiliate,West,CTV,Boomers,Traffic,79268,1624,2.05,1661.42,46,2.83,59.78,136,29,7.66,5601.56
C00019,17-10-2025,Display,South,Desktop,Gen X,App Installs,197682,2042,1.03,1745.92,0,0,46.99,140,34,7.48,283.61
C00020,28-09-2024,Video,Central,CTV,Gen X,Traffic,296058,8878,3,11069.35,529,5.96,,143,45,6.09,38030.17
C00021,10-09-2024,Social,Central,CTV,Gen Z,Awareness,71395,2346,3.29,3275.66,127,5.41,58.07,214,18,6.7,11182.5
C00022,25-10-2025,Search,South,Desktop,Boomers,App Installs,148727,9962,6.7,17081.46,875,8.78,67.91,119,35,5.7,62072.09
C00023,09-09-2024,Search,West,CTV,Boomers,App Installs,114432,5449,4.76,7824.91,339,6.22,65.49,178,36,8.22,33902.41
C00024,01-04-2025,Display,Central,Mobile,Gen Z,App Installs,254816,4304,1.69,3932.78,0,0,68.07,205,28,5.33,237.18
C00025,29-09-2024,Display,East,Mobile,Gen X,Sales,310159,1347,0.43,1482.35,13,0.97,39.2,159,31,7.3,411.26
C00026,18-07-2025,Social,West,Mobile,Gen X,App Installs,113730,3133,2.75,3221.78,82,2.62,49.79,110,36,6.52,7647.39
C00027,06-05-2025,Social,Central,Mobile,Gen X,App Installs,101325,1262,1.25,1701.49,46,3.65,58.68,72,34,7.43,3171.71
C00028,08-09-2024,Email,South,Desktop,Gen X,Traffic,23332,1187,5.09,624.87,75,6.32,63.56,189,43,7.13,3411.24
C00029,26-04-2024,Email,Central,Mobile,Gen X,Sales,77703,3187,4.1,2955.5,198,6.21,70.01,268,34,6.83,21226.88
C00030,13-12-2024,Search,North,Tablet,Gen X,Traffic,99771,6109,6.12,8020.94,219,3.58,51.26,121,41,4.6,10526.6
C00031,11-07-2025,Search,South,Mobile,Gen Z,Sales,86742,4083,4.71,7340.57,303,7.42,42.76,246,49,7.39,35156.9
C00032,09-12-2025,Search,Central,Desktop,Millennials,Sales,167905,8124,4.84,8989.07,555,6.83,75.12,110,29,6.54,51151.6
C00033,27-04-2024,Email,South,Tablet,Boomers,Traffic,76070,2131,2.8,1410.81,295,13.84,55.5,208,29,7.08,27094.6
C00034,10-03-2025,Email,South,Tablet,Boomers,Leads,55150,2545,4.61,612.77,176,6.92,51.17,183,52,6.95,5836.52
C00035,12-02-2024,Video,Central,CTV,Gen Z,Traffic,196611,3658,1.86,6463.73,356,9.73,45.3,131,32,5.78,24854.45
C00036,29-06-2025,Social,North,Tablet,Gen Z,App Installs,91757,1945,2.12,1935.88,57,2.93,52.62,170,32,7.05,6005.26
C00037,09-06-2025,Email,South,Desktop,Gen Z,Awareness,84603,4544,5.37,2719.32,577,12.7,50.08,102,20,4.59,51753.06
C00038,14-12-2025,Affiliate,North,Desktop,Gen Z,Awareness,120929,2168,1.79,910.19,25,1.15,46.13,142,21,10,3268.45
C00039,14-09-2025,Display,North,Desktop,Gen X,Sales,243281,1465,0.6,1821.09,0,0,52.42,167,30,6.46,0
C00040,30-05-2025,Social,Central,Desktop,Boomers,Traffic,117544,2956,2.51,2964.96,220,7.44,91.25,134,28,7.74,21978.77
C00041,19-05-2024,Video,West,Desktop,Gen Z,Awareness,159305,4888,3.07,7225.97,75,1.53,39.09,136,36,8.51,5544.04
C00042,03-07-2025,Affiliate,West,Tablet,Boomers,Sales,43973,561,1.28,513.22,38,6.77,53.71,124,23,7.88,2831.73
C00043,05-01-2024,Video,North,Mobile,Gen Z,Sales,141899,3896,2.75,8352.56,363,9.32,55.75,208,39,3.51,44007.27
C00044,17-05-2025,Affiliate,East,Mobile,Millennials,Traffic,70575,,1.46,548.45,23,2.23,68.36,262,42,6.95,2734.16
C00045,14-02-2025,Social,Central,CTV,Millennials,Sales,108844,2141,1.97,3277.5,85,3.97,66.46,218,47,9.08,8878.62
C00046,09-03-2024,Social,East,CTV,Millennials,Awareness,74088,1464,1.98,1618.11,40,2.73,37.95,107,36,7.31,3187.91
C00047,20-02-2024,Video,Central,Mobile,Gen Z,App Installs,204504,5792,2.83,14492.37,280,4.83,68.06,125,35,8.28,7485.87
C00048,28-07-2024,Search,North,Desktop,Millennials,Sales,151013,7132,4.72,12280.6,442,6.2,56.16,116,39,8.36,29942.7
C00049,18-02-2024,Video,West,Desktop,Boomers,Awareness,150206,7290,4.85,10870.38,398,5.46,43.4,127,31,6.95,28209.07
C00050,12-08-2025,Social,West,Mobile,Boomers,Leads,105165,4091,3.89,8218.6,99,2.42,41.26,166,34,6.72,9598.33
C00051,10-06-2024,Video,East,CTV,Boomers,Traffic,196868,6288,3.19,8749.63,162,2.58,53.48,152,30,7.75,9399.1
C00052,05-04-2024,Social,East,Desktop,Gen Z,App Installs,100286,2396,2.39,2392.94,20,0.83,59,242,31,8.44,2038.02
C00053,06-06-2025,Affiliate,Central,Mobile,Gen X,Awareness,53380,649,1.22,444.9,0,0,55.17,154,27,6.18,0
C00054,27-12-2025,Search,Central,CTV,Millennials,Awareness,121607,7322,6.02,14697.33,613,8.37,53.51,62,43,7.83,83055.7
C00055,12-01-2025,Email,North,Desktop,Gen Z,App Installs,65655,1871,2.85,754.82,135,7.22,93.41,147,28,6.52,15207.24
C00056,09-05-2024,Search,South,CTV,Gen Z,App Installs,142941,5648,3.95,7511.76,206,3.65,31.72,101,47,8.58,13410.31
C00057,14-09-2025,Social,Central,Mobile,Gen Z,Sales,97274,1443,1.48,2165.43,45,3.12,32.98,80,18,9.48,2749.28
C00058,10-05-2024,Affiliate,Central,Tablet,Gen X,Traffic,81997,1009,1.23,1343.48,43,4.26,62.34,210,54,9.05,5420.05
C00059,03-05-2025,Affiliate,East,Desktop,Gen X,Sales,95399,2073,2.17,1334.67,41,1.98,52.42,161,37,8.41,2984.89
C00060,11-09-2025,Social,East,CTV,Gen X,Awareness,77065,2525,3.28,2967.98,0,0,,212,29,7.42,175.65
C00061,06-11-2024,Search,West,Mobile,Gen Z,App Installs,129502,6902,5.33,12731.75,189,2.74,39.91,147,36,7.43,5653.94
C00062,19-11-2024,Social,Central,Tablet,Millennials,Leads,114678,3714,3.24,4387.68,145,3.9,29.01,209,31,7.31,11586.37
